"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23293.0374116156","25004.1719146977","25643.0836842704","26515.8902581958","27695.5448553791","27690.0913270057","27541.5491614996","29223.2368822152","29508.8622671102","29716.8343112066","32026.9727415196","31064.3556476532","29847.9283520918","30356.0452745934","33050.9033772923","34051.4928047902","35168.5614695776","36619.588029091","37247.9805023973","33553.8820015977","32625.4926908747","34324.7993588886","33567.5500169846","36829.0327743518","36779.429429343","37311.7503195981","37585.0250792115","38897.122666275","","","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1853.58480674089","1865.7002480977","1821.6753949722","1811.82779041156","1835.49476812949","1906.1603656808","1994.71930088301","2051.06820120754","2058.71469945206","2092.76506225301","2157.59407431525","2227.87482359987","2291.84309815365","2348.95508710245","2482.61077847314","2648.8218233241","2834.66133938026","3025.28935588155","3140.3681461931","3107.00507257103","3214.96975816099","3320.49330782879","3235.16335913109","3362.86880917301","3499.13287771861","3527.16419226322","3620.92150237861","3697.45930470822","3786.35731011396","3836.57142982939","3677.11125517431",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.01426830392","927.857548047018","925.441429176842","1023.05174932878","1077.76153966077","1228.70386342946","1272.57297477768","1519.69292278438","1710.57541109225","1699.48811019742","1914.77422837964","2015.51477466948","2069.42402167356","2087.30532306683","1981.11806850696","2058.4002210698","2082.63564821362","2152.3664894209","2077.8745536104",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.7115203988","1763.35459517979","1801.29161656193","1776.37352134758","1763.9069722774","1790.67112685718","1858.69302008435","1921.69039946658","1960.06154167227","1965.69011719106","2027.39936974128","2123.11956183358","2298.88600746148","2405.56387496919","2596.23409700438","2757.79210148405","2912.19546241924","3066.93398516866","3230.71908428466","3359.36265521762","3532.1429859982","3675.39244102586","3772.32380201759","4013.19652314325","4208.73177986288","4139.32336449764","4069.00566669605","4115.64548016502","4231.8157735629","4335.19954736606","4240.53478226414",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3279.22212168333","3311.77645207868","3086.56511625428","2325.18727026949","2330.24281167317","2649.36112085334","2966.383322399","3136.51628626983","3215.10561889009","3226.1281422107","3289.40954946819","3389.19696691951","3785.1503220062","3838.7950524777","4225.4679269176","4837.70982676046","5362.01984289893","6050.61055453052","6607.29163426752","6470.67524420331","6587.98693898257","6710.75062298751","7412.96703464311","7682.47538648506","8179.29782812609","7337.56982204938","7103.22643061091","7310.89658895511","7099.97195809928","6952.41936236851","6443.03267984657",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2547.21911415976","1907.42636017016","1821.69588282416","2055.65215899852","2287.8735874303","2663.43893648676","2977.46423878669","2716.69159046772","3020.92735427235","3471.65917652465","3862.48445469754","4301.38428019685","4661.37708163527","4994.92823034612","5423.20499219678","5865.31605918103","6557.80058533436","7274.52649345771","8228.32717914344","8819.49891254807","9636.10411846626","10207.7328744708","10526.319131674","10570.970844547","11259.2996861367","11658.8699613204","12078.7997440492","12770.9710014856","13554.8989476972","14336.7730240299","13899.9339813847",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6713.94889297216","7269.67348397015","7664.78211700646","7859.08570139286","8047.89967001261","8181.63675261747","8513.16013414064","8832.33960807163","9227.45450370069","9349.56045048968","9985.77672241282","10151.690033406","10126.6182446179","10512.8074484351","11535.7928158829","12255.0540844156","13042.5539868736","13643.9909520144","14354.9048951316","14197.2242693257","14692.4185527994","15151.1329843131","16065.8480494297","16018.3323958124","15709.708762645","14107.6670994582","13643.3447739897","14158.4440362362","14593.962874179","14888.6399020504","14067.9508409073",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87172.0997343654","85793.717027168","85571.6646950159","83796.6296610541","86653.6639098623","89669.4370194534","91887.1902945412","96181.5560804029","92629.3565810728","91712.0214854007","98365.1573861082","96724.0651137829","95551.7276379628","99239.9601570956","101872.973588358","97671.629302072","95679.8575342087","87102.97188999","79732.2434989502","68167.5758770941","64882.8503411842","67686.3853798798","69102.4761704654","70374.2353627555","73619.0446557068","64901.8800512352","63968.8880391711","67183.6053111678","68576.1155226865","71150.5421414274","66746.6349414858",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7191.10509033023","8000.36230985365","8713.54576407406","9526.91334664213","10168.750177921","9963.36090231541","10579.4772698476","11507.8954146611","11949.4186592024","11581.8905140722","11618.7932334926","11226.8797464943","10052.4882560869","11025.1860988296","12214.7407113551","13568.7692061284","14951.7289508076","16570.0078336983","17404.0691420333","16334.7408131075","18061.9343589164","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23293.3986337639","22999.2750525577","20762.9916793656",
