Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23293.03741,25004.17191,25643.08368,26515.89026,27695.54486,27690.09133,27541.54916,29223.23688,29508.86227,29716.83431,32026.97274,31064.35565,29847.92835,30356.04527,33050.90338,34051.4928,35168.56147,36619.58803,37247.9805,33553.882,32625.49269,34324.79936,33567.55002,36829.03277,36779.42943,37311.75032,37585.02508,38897.12267,,,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853.584807,1865.700248,1821.675395,1811.82779,1835.494768,1906.160366,1994.719301,2051.068201,2058.714699,2092.765062,2157.594074,2227.874824,2291.843098,2348.955087,2482.610778,2648.821823,2834.661339,3025.289356,3140.368146,3107.005073,3214.969758,3320.493308,3235.163359,3362.868809,3499.132878,3527.164192,3620.921502,3697.459305,3786.35731,3836.57143,3677.111255
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.0142683,927.857548,925.4414292,1023.051749,1077.76154,1228.703863,1272.572975,1519.692923,1710.575411,1699.48811,1914.774228,2015.514775,2069.424022,2087.305323,1981.118069,2058.400221,2082.635648,2152.366489,2077.874554
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.71152,1763.354595,1801.291617,1776.373521,1763.906972,1790.671127,1858.69302,1921.690399,1960.061542,1965.690117,2027.39937,2123.119562,2298.886007,2405.563875,2596.234097,2757.792101,2912.195462,3066.933985,3230.719084,3359.362655,3532.142986,3675.392441,3772.323802,4013.196523,4208.73178,4139.323364,4069.005667,4115.64548,4231.815774,4335.199547,4240.534782
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3279.222122,3311.776452,3086.565116,2325.18727,2330.242812,2649.361121,2966.383322,3136.516286,3215.105619,3226.128142,3289.409549,3389.196967,3785.150322,3838.795052,4225.467927,4837.709827,5362.019843,6050.610555,6607.291634,6470.675244,6587.986939,6710.750623,7412.967035,7682.475386,8179.297828,7337.569822,7103.226431,7310.896589,7099.971958,6952.419362,6443.03268
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547.219114,1907.42636,1821.695883,2055.652159,2287.873587,2663.438936,2977.464239,2716.69159,3020.927354,3471.659177,3862.484455,4301.38428,4661.377082,4994.92823,5423.204992,5865.316059,6557.800585,7274.526493,8228.327179,8819.498913,9636.104118,10207.73287,10526.31913,10570.97084,11259.29969,11658.86996,12078.79974,12770.971,13554.89895,14336.77302,13899.93398
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6713.948893,7269.673484,7664.782117,7859.085701,8047.89967,8181.636753,8513.160134,8832.339608,9227.454504,9349.56045,9985.776722,10151.69003,10126.61824,10512.80745,11535.79282,12255.05408,13042.55399,13643.99095,14354.9049,14197.22427,14692.41855,15151.13298,16065.84805,16018.3324,15709.70876,14107.6671,13643.34477,14158.44404,14593.96287,14888.6399,14067.95084
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87172.09973,85793.71703,85571.6647,83796.62966,86653.66391,89669.43702,91887.19029,96181.55608,92629.35658,91712.02149,98365.15739,96724.06511,95551.72764,99239.96016,101872.9736,97671.6293,95679.85753,87102.97189,79732.2435,68167.57588,64882.85034,67686.38538,69102.47617,70374.23536,73619.04466,64901.88005,63968.88804,67183.60531,68576.11552,71150.54214,66746.63494
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7191.10509,8000.36231,8713.545764,9526.913347,10168.75018,9963.360902,10579.47727,11507.89541,11949.41866,11581.89051,11618.79323,11226.87975,10052.48826,11025.1861,12214.74071,13568.76921,14951.72895,16570.00783,17404.06914,16334.74081,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23293.39863,22999.27505,20762.99168
